2066 1807 47347044 2.556169600000002
2067 1801 47347050 2.556169600000002
2070 1801 47347056 2.556169600000002
2067 1802 47347062 2.556169600000002
2064 1798 47347068 2.556169600000002
2070 1803 47347073 2.556169600000002
2068 1801 47347079 2.556169600000002
2068 1806 47347085 2.556169600000002
2068 1806 47347091 2.556169600000002
2065 1805 47347097 2.556169600000002
2068 1800 47347103 2.556169600000002
2068 1802 47347108 2.556169600000002
2070 1806 47347114 2.556169600000002
2067 1805 47347120 2.556169600000002
2068 1802 47347126 2.556169600000002
2071 1799 47347132 2.556169600000002
2069 1802 47347138 2.556169600000002
2064 1801 47347143 2.556169600000002
2063 1802 47347149 2.556169600000002
2068 1800 47347155 2.556169600000002
2070 1802 47347161 2.556169600000002
2065 1800 47347167 2.556169600000002
2066 1797 47347173 2.556169600000002
2070 1803 47347178 2.556169600000002
2066 1804 47347184 2.556169600000002
2065 1800 47347190 2.556169600000002
2065 1795 47347196 2.556169600000002
2066 1798 47347202 2.556169600000002
2072 1800 47347208 2.556169600000002
2069 1800 47347213 2.556169600000002
2063 1798 47347219 2.556169600000002
2069 1803 47347225 2.556169600000002
2066 1795 47347231 2.556169600000002
2062 1800 47347237 2.556169600000002
2070 1801 47347243 2.556169600000002
2066 1798 47347248 2.556169600000002
2064 1800 47347254 2.556169600000002
2064 1798 47347260 2.556169600000002
2066 1799 47347266 2.556169600000002
2065 1800 47347272 2.556169600000002
2067 1798 47347278 2.556169600000002
2068 1799 47347283 2.556169600000002
2068 1796 47347289 2.556169600000002
2062 1796 47347295 2.556169600000002
2064 1798 47347301 2.556169600000002
2060 1797 47347307 2.556169600000002
2061 1797 47347313 2.556169600000002
2065 1797 47347319 2.556169600000002
2066 1801 47347324 2.556169600000002
2066 1798 47347330 2.556169600000002
2061 1797 47347336 2.556169600000002
2066 1797 47347342 2.556169600000002
2062 1796 47347348 2.556169600000002
2064 1795 47347354 2.556169600000002
2070 1799 47347359 2.556169600000002
2062 1802 47347365 2.556169600000002
2068 1805 47347371 2.556169600000002
2068 1798 47347377 2.556169600000002
2066 1798 47347383 2.556169600000002
2068 1799 47347389 2.556169600000002
2061 1799 47347394 2.556169600000002
2063 1796 47347400 2.556169600000002
2070 1802 47347406 2.556169600000002
